Driver,DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,GP,LapTimeSeconds
18,18,6.0,2.0,213.0,172.0,273.5594525235244,296.0,0,3,3.0,1,2,0,9.52425215480818,24.9,48.6,1002.5,0,44.4,236,0.4,2021,8,98.903
19,22,6.0,2.0,158.0,162.0,273.5594525235244,292.0,0,3,3.0,1,0,0,9.52425215480818,24.9,48.6,1002.5,0,44.4,236,0.4,2021,8,129.126
1,14,6.0,2.0,174.0,203.0,273.5594525235244,226.0,0,3,3.0,1,1,0,9.52425215480818,24.9,47.1,1002.5,0,44.9,206,0.5,2021,8,103.924
13,4,6.0,2.0,197.0,176.0,273.5594525235244,269.0,0,3,3.0,1,6,0,9.52425215480818,24.9,47.1,1002.5,0,44.9,206,0.5,2021,8,106.455
16,63,8.0,3.0,155.0,172.0,273.5594525235244,98.0,0,3,3.0,1,11,0,9.52425215480818,24.9,47.1,1002.5,0,44.9,206,0.5,2021,8,115.144
9,44,9.0,3.0,287.0,301.0,285.0,308.0,1,3,2.0,1,7,0,9.52425215480818,25.1,46.9,1002.5,0,43.7,232,0.8,2021,8,77.632
7,10,5.0,2.0,287.0,306.0,284.0,309.0,1,3,2.0,1,0,0,9.52425215480818,25.3,47.4,1002.4,0,43.8,195,0.8,2021,8,77.982
18,18,8.0,3.0,284.0,297.0,285.0,315.0,1,3,2.0,1,2,0,9.52425215480818,25.3,47.4,1002.4,0,43.8,195,0.8,2021,8,77.974
13,4,8.0,3.0,287.0,302.0,287.0,314.0,1,3,2.0,1,6,0,9.52425215480818,25.3,47.4,1002.4,0,43.8,195,0.8,2021,8,77.696
20,33,7.0,2.0,288.0,305.0,282.0,312.0,1,3,2.0,1,10,0,9.52425215480818,25.3,47.4,1002.4,0,43.8,195,0.8,2021,8,76.922
9,44,10.0,3.0,210.0,212.0,273.5594525235244,203.0,0,3,3.0,1,7,0,9.52425215480818,25.2,48.3,1002.5,0,44.5,172,0.6,2021,8,100.71
